"id","name","wikiTitle","source","status"
"39066","Robo Maid","Maid Robot","https://static.wikia.nocookie.net/wonderlandonline/images/8/87/147589.png/revision/latest?cb=20130423005305","failed"
"39074","Mystic Hourglass","","","missing"
"39083","Tiger Skin Carpet","Brotherhood","https://static.wikia.nocookie.net/wonderlandonline/images/d/df/Winocai.png/revision/latest/scale-to-width-down/320?cb=20180622221027","failed"
"39091","Folding Screen","","","missing"
"39122","Large Gas Storage Tank","Buoyancy Device","https://static.wikia.nocookie.net/wonderlandonline/images/3/38/Submarine.png/revision/latest?cb=20240713111332","failed"
"47010","Brilliant Diamond","","","missing"
"47011","Unleaded Gasoline","Crude Oil Equipment","https://static.wikia.nocookie.net/wonderlandonline/images/c/c0/Crude_Oil_Equipment.png/revision/latest?cb=20130625005653","failed"
"47012","Great Gasoline","Crude Oil Equipment","https://static.wikia.nocookie.net/wonderlandonline/images/c/c0/Crude_Oil_Equipment.png/revision/latest?cb=20130625005653","failed"
"47013","Diesel Oil","Crude Oil Equipment","https://static.wikia.nocookie.net/wonderlandonline/images/c/c0/Crude_Oil_Equipment.png/revision/latest?cb=20130625005653","failed"
"55001","Trilobite Pack","","","missing"
"55073","Potato Chips Pack (50)","Level 41-50","https://static.wikia.nocookie.net/wonderlandonline/images/7/79/Shadow_pestle.jpg/revision/latest?cb=20110922202704","failed"
"55074","Fried Chicken Pack (50)","Fried Fish","https://static.wikia.nocookie.net/wonderlandonline/images/a/a6/Fried_Fish_Table.jpg/revision/latest?cb=20110407173823","failed"
"55077","Roman Warrior Bag","","","missing"
"55078","New Companion Gear Bag","","","missing"
"55079","Battle Boost Lucky Bag","Instance","https://static.wikia.nocookie.net/wonderlandonline/images/8/84/YoYo_Family.png/revision/latest/scale-to-width-down/307?cb=20110902132544","failed"
"55083","Chinese General Bag","","","missing"
"55086","Snow Songstress Bag","","","missing"
"56272","Pink Ribbon Lucky Bag","","","missing"
"56683","Dark Dharma King Bag","","","missing"
"56867","Cat Shoes Lucky Bag","Lucky Cat","https://static.wikia.nocookie.net/wonderlandonline/images/e/e6/Hot_Kiln.png/revision/latest?cb=20090730062128","failed"
"57205","Cyan Bone Dual Fan Bag","","","missing"
"57418","Gem Dharma Sword Bag","Damascus Blade","https://static.wikia.nocookie.net/wonderlandonline/images/5/5b/Dam_Sword.png/revision/latest?cb=20200302072809","failed"
"57786","Class Weapon Lucky Bag","Legendary Weapon","https://static.wikia.nocookie.net/wonderlandonline/images/4/4e/Legendary_Weapon_-_1st.jpg/revision/latest/scale-to-width-down/320?cb=20090711193121","failed"
"60008","Hot Water","Mighty Plane","https://static.wikia.nocookie.net/wonderlandonline/images/c/c9/Mighty_Plane_chart.jpg/revision/latest/scale-to-width-down/320?cb=20251125235434","failed"
"61062","Chaos Crystal","Disease Spread","https://static.wikia.nocookie.net/wonderlandonline/images/c/cb/Screenshot_2025-04-27_204815.jpg/revision/latest/scale-to-width-down/320?cb=20250428005013","failed"
"62006","20% Bomb Diamond","","","missing"
"62007","22% Bomb Diamond","Yellow diamond","https://static.wikia.nocookie.net/wonderlandonline/images/7/70/Yellow_Diamond.jpg/revision/latest/scale-to-width-down/317?cb=20100628194019","failed"
"62008","24% Bomb Diamond","Yellow diamond","https://static.wikia.nocookie.net/wonderlandonline/images/7/70/Yellow_Diamond.jpg/revision/latest/scale-to-width-down/317?cb=20100628194019","failed"
"62009","26% Bomb Diamond","Yellow diamond","https://static.wikia.nocookie.net/wonderlandonline/images/7/70/Yellow_Diamond.jpg/revision/latest/scale-to-width-down/317?cb=20100628194019","failed"
