//注意文件編碼必須是Anis
//已經開放的交通工具不可刪除

MaxTrafficTool          //後來新增交通工具種類總數(新增幾個交通工具就填數字幾-舊的GS有22個)
0.04                    //黃色小鴨
0.04                    //紙飛機
0.04                    //羅德號
0.04                    //上弦月
0.04                    //上弦之月
0.04                    //南瓜車
0.04                    //狗拉雪橇
0.04                    //重型機車
0.04                    //魔法掃把
0.04                    //魔羽掃把
0.04                    //筋斗雲
0.04                    //聖誕雪橇
0.04                    //虎氣球
0.04                    //兔氣球
0.04                    //聽雨眠
0.04                    //神龍飛船
0.04                    //紙船
0.04                    //紋銀弦月
0.04                    //七香車
0.05                    //UFO
0.04                    //鯊魚
0.04                    //飛劍˙銀
0.04                    //瑪雅火箭
0.04                    //機械豹
0.04                    //傘中憩
0.04                    //機械龍
0.04                    //玩具木馬
0.04                       //飛劍翡翠

TrafficAdjust           //交通工具調位置(只能填1~255)(新增交通工具直接換行)
68                      //黃色小鴨
68                      //紙飛機
68                      //羅德號
68                      //上弦月
68                      //上弦之月
68                      //南瓜車
68                      //狗拉雪橇
68                      //重型機車
68                      //魔法掃把
68                      //魔羽掃把
68                      //筋斗雲
68                      //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
68                      //聽雨眠
1                       //神龍飛船
68                      //紙船
68                      //紋銀弦月
68                      //七香車
1                       //UFO
68                      //鯊魚
68                      //飛劍˙銀
68                      //瑪雅火箭
68                      //機械豹
68                      //傘中憩
68                      //機械龍
68                      //玩具木馬
68                      //飛劍翡翠

TrafficShadow           //交通工具影子大小，0微小影子，1為大影子(新增交通工具直接換行)
0                       //黃色小鴨
0                       //紙飛機
0                       //羅德號
0                       //上弦月
0                       //上弦之月
0                       //南瓜車
0                       //狗拉雪橇
0                       //重型機車
0                       //魔法掃把
0                       //魔羽掃把
0                       //筋斗雲
0                       //聖誕雪橇
0                       //虎氣球
0                       //兔氣球
0                       //聽雨眠
1                       //神龍飛船
0                       //紙船
0                       //紋銀弦月
0                       //七香車
1                       //UFO
0                       //鯊魚
0                       //飛劍˙銀
1                       //瑪雅火箭
1                       //機械豹
1                       //傘中憩
0                       //機械龍
0                       //玩具木馬
0                       //飛劍翡翠

MaskPic                 //交通工具是否有遮罩圖(0-無 1-有)(新增交通工具直接換行)
1                       //黃色小鴨
1                       //紙飛機
1                       //羅德號
1                       //上弦月
1                       //上弦之月
1                       //南瓜車
1                       //狗拉雪橇
1                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
0                       //筋斗雲
1                       //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
0                       //聽雨眠
1                       //神龍飛船
1                       //紙船
1                       //紋銀弦月
1                       //七香車
0                       //UFO
0                       //鯊魚
0                       //飛劍˙銀
1                       //瑪雅火箭
0                       //機械豹
1                       //傘中憩
1                       //機械龍
1                       //玩具木馬
0                       //飛劍翡翠

ShowHum                 //人物是否顯示(0-不顯示 1-顯示)(新增交通工具直接換行)
1                       //黃色小鴨
1                       //紙飛機
1                       //羅德號
1                       //上弦月
1                       //上弦之月
1                       //南瓜車
1                       //狗拉雪橇
1                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
1                       //筋斗雲
1                       //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
1                       //聽雨眠
1                       //神龍飛船
1                       //紙船
1                       //紋銀弦月
1                       //七香車
0                       //UFO
1                       //鯊魚
1                       //飛劍˙銀
1                       //瑪雅火箭
1                       //機械豹
1                       //傘中憩
1                       //機械龍
1                       //玩具木馬
1                       //飛劍翡翠

TrafficSpecialKind      //1-太空用(新增交通工具直接換行)
0                       //黃色小鴨
0                       //紙飛機
0                       //羅德號
1                       //上弦月
0                       //上弦之月
0                       //南瓜車
0                       //狗拉雪橇
0                       //重型機車
0                       //魔法掃把
0                       //魔羽掃把
0                       //筋斗雲
0                       //聖誕雪橇
0                       //虎氣球
0                       //兔氣球
0                       //聽雨眠
1                       //神龍飛船
0                       //紙船
1                       //紋銀弦月
0                       //七香車
1                       //UFO
0                       //鯊魚
0                       //飛劍˙銀
1                       //瑪雅火箭
0                       //機械豹
0                       //傘中憩
0                       //機械龍
0                       //玩具木馬
0                       //飛劍翡翠

TrafficShowOrder        //交通工具顯示順位種類(0: 不處理 1:單人座 2:雙人前後騎(摩托車) 3:雙人前後坐(船類)  4:雙人左右坐(雙人車)  5: 四人車)
1                       //黃色小鴨
1                       //紙飛機
2                       //羅德號
1                       //上弦月
1                       //上弦之月
1                       //南瓜車
3                       //狗拉雪橇
2                       //重型機車
1                       //魔法掃把
1                       //魔羽掃把
1                       //筋斗雲
3                       //聖誕雪橇
1                       //虎氣球
1                       //兔氣球
1                       //聽雨眠
5                       //神龍飛船
1                       //紙船
1                       //紋銀弦月
2                       //七香車
1                       //UFO
1                       //鯊魚
1                       //飛劍˙銀
1                       //瑪雅火箭
1                       //機械豹
1                       //傘中憩
1                       //機械龍
1                       //玩具木馬
1                       //飛劍翡翠

////===============以下是乘坐位置============================
//面向=1-上 2-左上 3-左 4-左下 5-下 6-右下 7-右 8-右上
//姿勢=0:Sit(坐姿) 1:Ride(騎乘姿勢)
//SitOnTraffic代表一個交通工具,另一SitOnTraffic代表另一個交通工具
//SitOnTraffic底下代表一個座位有4種角色體型8種面向共4組XY座標,假如某交通工具為4人座的,則共16組XY座標

SitOnTraffic Ride                     //黃色小鴨的乘坐位置
0 -5 -6 -6 0 6 6 5                    //隊長-小男X
3 7 5 7 7 7 5 7                       //隊長-小男Y
0 -5 -6 -6 0 6 6 5                    //隊長-小女X
3 7 5 7 7 7 5 7                       //隊長-小女Y
0 -9 -7 -1 -1 2 7 9                   //隊長-中男X
5 11 7 10 0 11 7 11                   //隊長-中男Y
0 -9 -7 -1 -1 2 7 9                   //隊長-中女X
5 11 7 10 0 11 7 11                   //隊長-中女Y

SitOnTraffic Sit                      //紙飛機的乘坐位置
-2 14 14 5 -2 -5 -14 -14              //隊長-小男X
-23 -20 -27 -29 -34 -29 -27 -20       //隊長-小男Y
-2 14 14 14 -2 -2 -14 -14             //隊長-小女X
-23 -23 -30 -34 -26 -26 -30 -23       //隊長-小女Y
0 14 14 16 -2 -16 -14 -14             //隊長-中男X
-23 -20 -30 -34 -30 -34 -30 -23       //隊長-中男Y
2 10 16 12 -2 -12 -16 -10             //隊長-中女X
-20 -24 -30 -36 -23 -36 -30 -24       //隊長-中女Y

SitOnTraffic Ride                     //羅德號的乘坐位置
0 5 7 6 0 -6 -7 -5                    //隊長-小男X
5 -4 -5 -7 -5 -7 -5 -4                //隊長-小男Y
0 5 7 7 0 -7 -7 -5                    //隊長-小女X
5 -2 -5 -8 -5 -8 -5 -2                //隊長-小女Y
0 7 5 4 0 -4 -5 -7                    //隊長-中男X
5 3 0 -1 0 -1 0 3                     //隊長-中男Y
0 7 9 10 0 -10 -9 -7                  //隊長-中女X
5 3 0 -3 0 -3 0 3                     //隊長-中女Y
0 25 29 26 0 -26 -29 -25              //隊員1-小男X
5 1 -5 -17 -8 -17 -5 1                //隊員1-小男Y
0 25 30 27 0 -27 -30 -25              //隊員1-小女X
10 3 -5 -18 -10 -18 -5 3              //隊員1-小女Y
0 22 27 26 0 -26 -27 -22              //隊員1-中男X
15 6 0 -11 0 -11 0 6                  //隊員1-中男Y
0 25 30 27 0 -27 -30 -25              //隊員1-中女X
15 7 -5 -12 -3 -12 -5 7               //隊員1-中女Y

SitOnTraffic Sit                      //上弦月的乘坐位置
0 -10 -20 -4 0 4 20 10                //隊長-小男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小男Y
0 -10 -20 -4 0 4 20 10                //隊長-小女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小女Y
0 -10 -20 -4 0 4 20 10                //隊長-中男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中男Y
0 -10 -20 -4 0 4 20 10                //隊長-中女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中女Y

SitOnTraffic Sit                      //上弦之月的乘坐位置
0 -10 -20 -4 0 4 20 10                //隊長-小男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小男Y
0 -10 -20 -4 0 4 20 10                //隊長-小女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小女Y
0 -10 -20 -4 0 4 20 10                //隊長-中男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中男Y
0 -10 -20 -4 0 4 20 10                //隊長-中女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中女Y

SitOnTraffic Sit                      //南瓜車的乘坐位置
0 -12 -6 11 0 -11 6 12                //隊長-小男X
3 2 4 3 5 3 4 2                     	//隊長-小男Y
0 -12 -6 11 0 -11 6 12                //隊長-小女X
3 2 4 3 5 3 4 2                     	//隊長-小女Y
0 -9 -8 10 0 -10 8 9                	//隊長-中男X
0 1 2 3 -1 3 2 1                    	//隊長-中男Y
0 -9 -8 10 0 -10 8 9                	//隊長-中女X
0 1 2 3 -1 3 2 1                    	//隊長-中女Y

SitOnTraffic Sit                      //狗拉雪橇的乘坐位置
0 0 3 0 0 3 0 0                       //隊長-小男X
-30 -10 -10 -5 0 -5 -10 -10           //隊長-小男Y
0 0 3 0 0 3 0 0                       //隊長-小女X
-30 -10 -10 -5 0 -5 -10 -10           //隊長-小女Y
0 0 5 0 0 0 -5 0                      //隊長-中男X
-30 -10 -10 -10 0 -10 -10 -10         //隊長-中男Y
2 0 5 0 0 0 -5 0                      //隊長-中女X
-35 -15 -10 -10 0 -10 -10 -15         //隊長-中女Y
0 20 25 20 0 -20 -25 -20              //隊員1-小男X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-小男Y
0 20 25 20 0 -20 -25 -20              //隊員1-小女X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-小女Y
0 20 25 20 0 -20 -25 -20              //隊員1-中男X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-中男Y
0 20 25 20 0 -20 -25 -20              //隊員1-中女X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-中女Y

SitOnTraffic Ride   //重型機車
2 0 0 0 2 0 0 0   //隊長-小男X
0 2 0 0 0 0 0 2   //隊長-小男Y
2 0 0 0 2 0 0 0   //隊長-小女X
0 2 0 0 0 0 0 2   //隊長-小女Y
2 0 0 0 2 0 0 0   //隊長-中男X
0 2 0 0 0 0 0 2   //隊長-中男Y
2 0 0 0 2 0 0 0   //隊長-中女X
0 2 0 0 0 0 0 2   //隊長-中女Y
2 17 22 17 2 -17 -22 -17   //隊員1-小男X
0 -3 -6 -13 -6 -13 -6 -3   //隊員1-小男Y
2 17 23 17 2 -23 -23 -17   //隊員1-小女X
5 -3 -6 -13 -8 -13 -6 -3   //隊員1-小女Y
2 12 22 19 2 -25 -22 -12   //隊員1-中男X
10 -5 -6 -13 -3 -13 -6 -5   //隊員1-中男Y
2 15 21 14 2 -20 -21 -15   //隊員1-中女X
10 -4 -11 -12 -6 -12 -11 -4   //隊員1-中女Y

SitOnTraffic Ride   //魔法掃把
0 0 0 0 0 0 0 0   //隊長-小男X
-15 -15 -10 -10 -10 -10 -10 -15   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
-15 -15 -10 -10 -10 -10 -10 -15   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-15 -12 -7 -5 2 -5 -7 -12   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-15 -12 -7 -5 2 -5 -7 -12   //隊長-中女Y

SitOnTraffic Ride   //魔羽掃把
0 0 0 0 0 0 0 0   //隊長-小男X
-15 -15 -10 -10 -10 -10 -10 -15   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
-15 -15 -10 -10 -10 -10 -10 -15   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-15 -12 -7 -5 2 -5 -7 -12   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-15 -12 -7 -5 2 -5 -7 -12   //隊長-中女Y

SitOnTraffic Sit                      //筋斗雲的乘坐位置
0 -8 -4 -9 -1 9 4 8                   //隊長-小男X
-44 -51 -52 -43 -42 -43 -50 -51       //隊長-小男Y
0 -8 -4 -9 -1 9 4 8                   //隊長-小女X
-44 -51 -52 -43 -42 -43 -50 -51       //隊長-小女Y
0 -6 -4 -9 -1 9 4 6                   //隊長-中男X
-51 -58 -55 -49 -42 -49 -55 -58       //隊長-中男Y
0 -6 -4 -9 -1 9 4 6                   //隊長-中女X
-51 -58 -55 -49 -42 -49 -55 -58       //隊長-中女Y

SitOnTraffic Sit                      //聖誕雪橇的乘坐位置
0 0 3 0 0 3 0 0                       //隊長-小男X
-30 -10 -10 -5 0 -5 -10 -10           //隊長-小男Y
0 0 3 0 0 3 0 0                       //隊長-小女X
-30 -10 -10 -5 0 -5 -10 -10           //隊長-小女Y
0 0 5 0 0 0 -5 0                      //隊長-中男X
-30 -10 -10 -10 0 -10 -10 -10         //隊長-中男Y
2 0 5 0 0 0 -5 0                      //隊長-中女X
-35 -15 -10 -10 0 -10 -10 -15         //隊長-中女Y
0 20 25 20 0 -20 -25 -20              //隊員1-小男X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-小男Y
0 20 25 20 0 -20 -25 -20              //隊員1-小女X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-小女Y
0 20 25 20 0 -20 -25 -20              //隊員1-中男X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-中男Y
0 20 25 20 0 -20 -25 -20              //隊員1-中女X
-10 -5 -10 -15 -20 -15 -10 -5         //隊員1-中女Y

SitOnTraffic Sit   //虎氣球的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-40 -40 -40 -40 -40 -40 -40 -40   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-小女X
-40 -40 -40 -40 -40 -40 -40 -40   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-40 -40 -40 -40 -40 -40 -40 -40   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-40 -40 -40 -40 -40 -40 -40 -40   //隊長-中女Y

SitOnTraffic Sit   //兔氣球的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-小女X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-中女Y

SitOnTraffic Sit   //聽雨眠的乘坐位置
0 -8 -4 -9 -1 9 4 8   //隊長-小男X
-44 -51 -52 -43 -42 -43 -50 -51   //隊長-小女Y
0 -8 -4 -9 -1 9 4 8   //隊長-小女X
-44 -51 -52 -43 -42 -43 -50 -51   //隊長-小女Y
0 -6 -4 -9 -1 9 4 6   //隊長-中男X
-51 -58 -55 -49 -42 -49 -55 -58   //隊長-中男Y
0 -6 -4 -9 -1 9 4 6   //隊長-中女X
-51 -58 -55 -49 -42 -49 -55 -58   //隊長-中女Y

SitOnTraffic Sit   //龍舟飛船的乘坐位置
-18 -18 12 0 18 18 -10 -5
-70 -75 -75 -70 -65 -75 -90 -80
-18 -18 12 0 18 18 -10 -5
-70 -75 -75 -70 -65 -75 -90 -80
-18 -18 12 0 18 18 -10 -5
-70 -75 -75 -70 -65 -75 -90 -80
-18 -18 12 0 18 18 -10 -5
-70 -75 -75 -70 -65 -75 -90 -80
18 0 12 -18 -18 5 -10 10
-70 -80 -85 -75 -60 -70 -70 -70
18 0 12 -18 -18 5 -10 10
-70 -80 -85 -75 -60 -70 -70 -70
18 0 12 -18 -18 5 -10 10
-70 -80 -85 -75 -60 -70 -70 -70
18 0 12 -18 -18 5 -10 10
-70 -80 -85 -75 -60 -70 -70 -70
-18 12 35 17 18 2 -36 -23
-55 -65 -75 -80 -70 -85 -90 -72
-18 12 35 17 18 2 -36 -23
-55 -65 -75 -80 -70 -85 -90 -72
-18 12 35 17 18 2 -36 -23
-55 -65 -75 -80 -70 -85 -90 -72
-18 12 35 17 18 2 -36 -23
-55 -65 -75 -80 -70 -85 -90 -72
18 30 35 -1 -18 -16 -36 -8
-55 -70 -85 -85 -70 -80 -70 -62
18 30 35 -1 -18 -16 -36 -8
-55 -70 -85 -85 -70 -80 -70 -62
18 30 35 -1 -18 -16 -36 -8
-55 -70 -85 -85 -70 -80 -70 -62
18 30 35 -1 -18 -16 -36 -8
-55 -70 -85 -85 -70 -80 -70 -62

SitOnTraffic Sit   //紙船的乘坐位置
0 -30 -20 -10 0 10 20 30   //隊長-小男X
0 -20 -5 0 0 0 -5 -20   //隊長-小女Y
0 -30 -20 -10 0 10 20 30   //隊長-小女X
0 -20 -5 0 0 0 -5 -20   //隊長-小女Y
0 -30 -20 -10 0 10 20 30   //隊長-中男X
0 -20 -5 0 0 0 -5 -20   //隊長-中男Y
0 -30 -20 -10 0 10 20 30   //隊長-中女X
0 -20 -5 0 0 0 -5 -20   //隊長-中女Y

SitOnTraffic Sit   //紋銀弦月
0 -10 -20 -4 0 4 20 10                //隊長-小男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小男Y
0 -10 -20 -4 0 4 20 10                //隊長-小女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-小女Y
0 -10 -20 -4 0 4 20 10                //隊長-中男X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中男Y
0 -10 -20 -4 0 4 20 10                //隊長-中女X
-26 -12 -12 -6 4 -6 -12 -12           //隊長-中女Y

SitOnTraffic Sit   //七香車
10 15 35 -5 -15 -20 -35 0   //隊長-小男X
0 -5 -22 -35 -20 -25 -7 0   //隊長-小男Y
10 15 35 -5 -20 -20 -35 0   //隊長-小女X
0 -5 -22 -35 -15 -25 -7 0   //隊長-小女Y
10 15 35 -5 -20 -20 -35 0   //隊長-中男X
0 -5 -22 -35 -15 -25 -7 0   //隊長-中男Y
10 15 35 -5 -20 -20 -35 0   //隊長-中女X
0 -5 -22 -35 -15 -25 -7 0   //隊長-中女Y
-10 -5 35 25 15 5 -35 -25              //隊員1-小男X
0 5 -5 -25 -20 -40 -22 -10         //隊員1-小男Y
-10 -5 35 25 15 5 -35 -25              //隊員1-小女X
0 5 -5 -25 -20 -40 -22 -10         //隊員1-小女Y
-10 -5 35 25 15 5 -35 -25              //隊員1-中男X
0 5 -5 -25 -20 -40 -22 -10         //隊員1-中男Y
-10 -5 35 25 15 5 -35 -25              //隊員1-中女X
0 5 -5 -25 -20 -40 -22 -10         //隊員1-中女Y

SitOnTraffic Sit
0 0 0 0 0 0 0 0   //隊長-小男X
0 0 0 0 0 0 0 0   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
0 0 0 0 0 0 0 0   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
0 0 0 0 0 0 0 0   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
0 0 0 0 0 0 0 0   //隊長-中女Y

SitOnTraffic Ride  //鯊魚的乘坐位置
0 3 8 10 0 -10 -8 0    //隊長-小男X
-25 -15 -20 -20 -25 -20 -20 -15    //隊長-小男Y
0 3 8 10 0 -10 -8 0    //隊長-小女X
-25 -15 -20 -20 -25 -20 -20 -15    //隊長-小女Y
0 5 5 10 0 -10 0 0    //隊長-中男X
-20 -15 -15 -15 -20 -15 -15 -15    //隊長-中男Y
0 5 7 10 0 -10 -7 -5    //隊長-中女X
-20 -15 -15 -15 -20 -15 -15 -15    //隊長-中女Y

SitOnTraffic Sit   //飛劍˙銀的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-45 -35 -40 -25 -15 -25 -40 -35   //隊長-小男Y
0 0 0 0 0 0 0 0    //隊長-小女X
-45 -35 -40 -25 -15 -25 -40 -35   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-45 -35 -40 -25 -15 -25 -40 -35   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-45 -35 -40 -25 -15 -25 -40 -35   //隊長-中女Y

SitOnTraffic Sit   //瑪雅火箭的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-50 -50 -50 -50 -50 -50 -50 -50   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
-50 -50 -50 -50 -50 -50 -50 -50   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-50 -50 -50 -50 -50 -50 -50 -50   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-50 -50 -50 -50 -50 -50 -50 -50   //隊長-中女Y

SitOnTraffic Ride  //機械豹的乘坐位置
-1 0 5 5 0 -5 -5 0   //隊長-小男X
-10 -8 -10 -10 -15 -10 -10 -8   //隊長-小男Y
-1 0 5 5 0 -5 -5 0   //隊長-小女X
-10 -8 -10 -10 -15 -10 -10 -8   //隊長-小女Y
0 0 0 2 0 -2 0 0   //隊長-中男X
-5 -5 -5 -5 -10 -5 -5 -5   //隊長-中男Y
0 0 0 2 0 -2 0 0   //隊長-中女X
-5 -5 -5 -5 -10 -5 -5 -5   //隊長-中女Y

SitOnTraffic Sit  //傘中憩的乘坐位置
0 0 -10 0 0 0 10 0  //隊長-小男X
0 0 -5 0 0 0 -5 0   //隊長-小男Y
0 0 -10 0 0 0 10 0   //隊長-小女X
0 0 -5 0 0 0 -5 0   //隊長-小女Y
0 0 -10 0 0 0 10 0   //隊長-中男X
0 0 -5 0 0 0 -5 0   //隊長-中男Y
0 0 -10 0 0 0 10 0   //隊長-中女X
-5 -4 -5 0 0 0 -5 -4   //隊長-中女Y

SitOnTraffic Ride  //機械龍的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
-20 -20 -20 -20 -20 -20 -20 -20   //隊長-中女Y

SitOnTraffic Ride  //玩具木馬的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
0 0 0 0 0 0 0 0   //隊長-小男Y
0 0 0 0 0 0 0 0   //隊長-小女X
0 0 0 0 0 0 0 0   //隊長-小女Y
0 0 0 0 0 0 0 0   //隊長-中男X
0 0 0 0 0 0 0 0   //隊長-中男Y
0 0 0 0 0 0 0 0   //隊長-中女X
0 0 0 0 0 0 0 0   //隊長-中女Y

SitOnTraffic Sit   //飛劍˙翡翠的乘坐位置
0 0 0 0 0 0 0 0   //隊長-小男X
-45 -35 -40 -25 -15 -25 -40 -35   //隊長-小男Y
